season,teamId,gameType,teamName,teamCity,teamScore,opponentScore,assists,rebounds,blocks,steals,turnovers,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,plusMinusPoints,foulsPersonal,numMinutes,win,gamesPlayed,teamScoreTotal,opponentScoreTotal,assistsTotal,reboundsTotal,blocksTotal,stealsTotal,turnoversTotal,fieldGoalsPercentage,threePointersPercentage,freeThrowsPercentage,proportionThreePoint,losses,salary
1980,1610612759,Regular Season,Spurs,San Antonio,112.3048780487805,109.42682926829268,,,,,,3571.0,0.0,15.0,0.0,2052.0,2665.0,2.8780487804878048,25.853658536585368,241.52439024390245,52.0,82,9209,8973,0.0,0.0,0.0,0.0,0.0,inf,inf,0.7699812382739212,,30.0,
1980,1610612760,Regular Season,SuperSonics,Seattle,104.03658536585365,105.6829268292683,,,,,,3344.0,0.0,32.0,0.0,1811.0,2374.0,-1.646341463414634,24.20731707317073,241.21951219512195,34.0,82,8531,8666,0.0,0.0,0.0,0.0,0.0,inf,inf,0.7628475147430497,,48.0,
1980,1610612762,Regular Season,Jazz,Utah,101.23170731707317,107.1219512195122,,,,,,3332.0,0.0,42.0,0.0,1595.0,2085.0,-5.890243902439025,25.73170731707317,240.609756097561,28.0,82,8301,8784,0.0,0.0,0.0,0.0,0.0,inf,inf,0.7649880095923262,,54.0,
1980,1610612764,Regular Season,Bullets,Washington,105.63414634146342,105.6219512195122,,,,,,3549.0,0.0,65.0,0.0,1499.0,2072.0,0.012195121951219513,23.158536585365855,241.21951219512195,39.0,82,8662,8661,0.0,0.0,0.0,0.0,0.0,inf,inf,0.7234555984555985,,43.0,
1980,1610612765,Regular Season,Pistons,Detroit,99.6829268292683,106.0,,,21.0,22.0,,3236.0,0.0,13.0,0.0,1689.0,2328.0,-6.1234567901234565,25.670731707317074,240.91463414634146,21.0,82,8174,8692,0.0,0.0,21.0,22.0,0.0,inf,inf,0.7255154639175257,,61.0,
1981,1610612737,Regular Season,Hawks,Atlanta,100.98780487804878,100.45121951219512,22.57894736842105,42.2,6.3076923076923075,10.333333333333334,17.5,3210.0,1651.0,28.0,11.0,1833.0,2387.0,0.5365853658536586,27.617283950617285,242.4390243902439,42.0,82,8281,8237,429.0,844.0,82.0,31.0,140.0,1.9442761962447002,2.5454545454545454,0.7679095098449937,0.006662628709872804,40.0,
1981,1610612738,Playoffs,Celtics,Boston,105.83333333333333,100.16666666666667,23.3,50.4,8.571428571428571,6.333333333333333,18.5,497.0,892.0,5.0,22.0,271.0,370.0,5.666666666666667,26.90909090909091,246.25,7.0,12,1270,1202,233.0,504.0,60.0,19.0,148.0,0.5571748878923767,0.22727272727272727,0.7324324324324324,0.02466367713004484,5.0,
1981,1610612738,Regular Season,Celtics,Boston,111.95121951219512,105.57317073170732,24.666666666666668,46.23809523809524,7.5,11.0,16.5,3657.0,1805.0,49.0,16.0,1817.0,2457.0,6.378048780487805,24.597560975609756,241.21951219512195,63.0,82,9180,8657,518.0,971.0,60.0,11.0,330.0,2.026038781163435,3.0625,0.7395197395197395,0.00886426592797784,19.0,
1981,1610612739,Regular Season,Cavaliers,Cleveland,103.20731707317073,111.71951219512195,20.523809523809526,43.23809523809524,3.0,9.666666666666666,13.875,3405.0,1935.0,25.0,7.0,1628.0,2187.0,-8.345679012345679,26.085365853658537,241.52439024390245,15.0,82,8463,9161,431.0,908.0,27.0,29.0,111.0,1.7596899224806202,3.5714285714285716,0.7443987197073617,0.0036175710594315244,67.0,
1981,1610612741,Regular Season,Bulls,Chicago,106.6219512195122,108.64634146341463,23.92,45.12,6.2,6.133333333333334,19.789473684210527,3369.0,2071.0,54.0,52.0,1951.0,2547.0,-1.7777777777777777,24.5,242.4390243902439,34.0,82,8743,8909,598.0,1128.0,124.0,92.0,376.0,1.626750362143892,1.0384615384615385,0.7659992147624657,0.025108643167551906,48.0,
1981,1610612742,Regular Season,Mavericks,Dallas,104.57317073170732,109.0,26.142857142857142,38.714285714285715,3.8,5.666666666666667,16.0,3390.0,491.0,55.0,13.0,1740.0,2360.0,-3.759493670886076,26.75609756097561,240.609756097561,28.0,82,8575,8938,183.0,271.0,19.0,17.0,80.0,6.904276985743381,4.230769230769231,0.7372881355932204,0.026476578411405296,54.0,
